ID;MesSiniestro;Marca;Zona;Sexo;EstadoCivil;Edad;Categoria;CostoVehiculo;Fraude;TipoConductor;Modelo;Testigo;Anio;Pago
42;Mar;Pontiac;Urbana;Hombre;Casado;44;Sedan;Bajo;0;1;5mas;No;2022;25.15481547
43;Jul;Toyota;Urbana;Mujer;Soltero;42;Deportivo;Bajo;0;4;4y;No;2022;150.7649547
44;Ene;Honda;Urbana;Hombre;Casado;41;Sedan;Bajo;0;2;5mas;No;2022;164.8600621
45;Ene;Toyota;Urbana;Hombre;Casado;72;Sedan;Bajo;0;1;5mas;No;2022;229.662433
46;Feb;Pontiac;Urbana;Mujer;Casado;29;Sedan;Bajo;0;3;5mas;No;2022;355.1998477
47;Feb;Pontiac;Urbana;Hombre;Soltero;32;Sedan;Medio;0;4;5mas;No;2022;223.147932
48;Nov;Mazda;Urbana;Hombre;Casado;37;Deportivo;Medio;0;3;5mas;No;2022;243.9776176
49;Abr;Chevrolet;Urbana;Mujer;Casado;37;Deportivo;Alto;0;1;5mas;No;2022;118.4696524
50;Abr;Pontiac;Urbana;Hombre;Casado;59;Sedan;Bajo;0;4;5mas;No;2022;229.4168801
51;May;Pontiac;Urbana;Hombre;Casado;49;Deportivo;Medio;0;2;5mas;No;2022;142.5728553
52;Jun;Pontiac;Urbana;Hombre;Casado;27;Deportivo;Bajo;0;3;5mas;No;2022;281.2513109
53;Jul;Honda;Rural;Hombre;Casado;21;Deportivo;Alto;1;4;4y;No;2022;141.3936082
54;Jul;Honda;Urbana;Hombre;Casado;50;Sedan;Bajo;1;1;5mas;No;2022;188.4473774
55;Jun;Pontiac;Urbana;Hombre;Soltero;45;Sedan;Medio;0;1;5mas;No;2022;83.9650879
56;Dic;Mazda;Urbana;Hombre;Casado;49;Sedan;Bajo;0;4;5mas;No;2022;174.2027913
57;Jun;Honda;Urbana;Hombre;Soltero;30;Sedan;Bajo;0;4;5mas;No;2022;142.1263625
58;Nov;Accura;Urbana;Hombre;Soltero;37;Sedan;Alto;0;3;5mas;No;2022;63.69875761
59;May;Honda;Rural;Hombre;Soltero;0;Deportivo;Alto;0;4;0y;No;2022;85.28148373
60;May;Chevrolet;Urbana;Mujer;Soltero;27;Sedan;Bajo;0;4;5mas;No;2022;100.7857592
61;Nov;Toyota;Urbana;Hombre;Soltero;30;Sedan;Medio;0;4;5mas;No;2022;94.70388207
62;Sep;Pontiac;Urbana;Hombre;Casado;49;Carga;Medio;0;4;5mas;No;2022;41.88291683
63;Nov;Honda;Urbana;Hombre;Soltero;0;Sedan;Alto;0;2;0y;No;2022;32.97513536
64;Feb;Toyota;Urbana;Hombre;Casado;26;Deportivo;Bajo;0;3;5mas;No;2022;203.6810397
65;Dic;Pontiac;Urbana;Hombre;Soltero;48;Sedan;Bajo;0;1;5mas;No;2022;66.78657341
66;Dic;Mazda;Urbana;Hombre;Soltero;31;Sedan;Bajo;0;3;5mas;No;2022;129.0745584
67;Mar;Mercury;Urbana;Hombre;Soltero;40;Sedan;Alto;0;2;5mas;No;2022;48.70072249
68;Ago;Mazda;Urbana;Hombre;Casado;65;Deportivo;Medio;0;1;5mas;No;2022;108.1882663
69;Ene;Toyota;Urbana;Hombre;Casado;64;Sedan;Bajo;0;1;5mas;No;2022;58.1280044
70;Ene;Honda;Urbana;Hombre;Casado;55;Deportivo;Bajo;0;2;5mas;No;2022;134.522211
71;Ene;Honda;Urbana;Hombre;Soltero;44;Sedan;Bajo;0;1;5mas;No;2022;97.37431993
72;Ene;Mazda;Urbana;Hombre;Casado;27;Sedan;Bajo;0;3;5mas;No;2022;127.1136713
73;Sep;Chevrolet;Urbana;Mujer;Soltero;28;Sedan;Bajo;0;3;5mas;No;2022;300.6291348
74;Ene;Honda;Urbana;Hombre;Casado;47;Sedan;Bajo;0;2;5mas;No;2022;133.9880551
75;Abr;Mazda;Urbana;Hombre;Casado;60;Sedan;Alto;0;3;5mas;No;2022;13.61396328
76;Ago;Ford;Urbana;Hombre;Casado;33;Sedan;Medio;0;4;5mas;No;2022;13.81181201
77;Oct;Chevrolet;Urbana;Hombre;Casado;27;Sedan;Bajo;0;3;5mas;No;2022;54.74136556
78;Feb;Honda;Urbana;Mujer;Casado;47;Deportivo;Alto;0;3;5mas;No;2022;150.204655
79;Feb;Jaguar;Rural;Mujer;Soltero;29;Deportivo;Medio;0;1;5mas;No;2022;69.01446655
80;Feb;Toyota;Urbana;Mujer;Casado;33;Sedan;Medio;0;1;5mas;No;2022;61.00898665
81;Ene;Pontiac;Urbana;Hombre;Casado;38;Deportivo;Bajo;0;4;5mas;No;2022;240.9912681
82;Ene;Mazda;Urbana;Hombre;Soltero;37;Deportivo;Bajo;0;2;5mas;No;2022;135.0773783
83;Dic;Chevrolet;Urbana;Hombre;Casado;36;Sedan;Alto;0;4;5mas;No;2022;282.8106019
84;Nov;Toyota;Urbana;Mujer;Casado;44;Deportivo;Bajo;0;4;5mas;No;2022;17.54113039
85;Dic;Honda;Urbana;Hombre;Soltero;0;Deportivo;Alto;0;2;0y;No;2022;54.16683531
86;Dic;Chevrolet;Rural;Hombre;Casado;27;Carga;Alto;0;4;5mas;No;2022;251.4514818
87;May;Toyota;Urbana;Hombre;Soltero;27;Sedan;Bajo;0;3;5mas;No;2022;92.70147692
88;May;Mazda;Urbana;Hombre;Soltero;39;Sedan;Bajo;0;2;4y;No;2022;49.74024088
89;Oct;Pontiac;Urbana;Hombre;Casado;74;Sedan;Medio;0;4;5mas;No;2022;66.96910212
90;Oct;Honda;Urbana;Hombre;Soltero;23;Deportivo;Bajo;0;2;4y;No;2022;22.88663722
91;Oct;Honda;Urbana;Mujer;Soltero;25;Deportivo;Alto;0;1;5mas;No;2022;75.08915571
92;Ene;Pontiac;Urbana;Hombre;Soltero;38;Deportivo;Bajo;0;2;5mas;No;2022;131.5075023
93;Ene;Honda;Urbana;Hombre;Casado;41;Sedan;Medio;0;1;5mas;No;2022;113.6709757
94;Ago;Pontiac;Urbana;Hombre;Casado;38;Sedan;Bajo;0;3;5mas;No;2022;325.0845468
95;Nov;Honda;Urbana;Hombre;Soltero;34;Deportivo;Alto;1;3;5mas;No;2022;230.1408084
96;May;Honda;Urbana;Hombre;Casado;61;Sedan;Medio;0;4;5mas;No;2022;17.17854081
97;Nov;Toyota;Urbana;Hombre;Casado;38;Sedan;Bajo;1;2;5mas;No;2022;208.734001
98;Ene;Toyota;Urbana;Hombre;Soltero;40;Sedan;Bajo;0;4;5mas;No;2022;30.51275766
99;Nov;Pontiac;Urbana;Hombre;Casado;41;Sedan;Bajo;0;4;5mas;No;2022;172.1553114
100;Ene;Pontiac;Urbana;Hombre;Casado;36;Sedan;Bajo;0;1;5mas;No;2022;330.7361114
101;Nov;Chevrolet;Urbana;Hombre;Casado;31;Carga;Alto;1;1;5mas;No;2022;86.01843062
102;Ene;Pontiac;Urbana;Mujer;Casado;35;Sedan;Bajo;0;4;5mas;No;2022;55.31537654
103;Ene;Ford;Urbana;Mujer;Casado;37;Sedan;Alto;0;2;5mas;No;2022;93.03882977
104;Ene;Mazda;Urbana;Hombre;Casado;55;Sedan;Bajo;0;3;5mas;No;2022;96.97475407
105;Ene;Pontiac;Urbana;Hombre;Soltero;31;Sedan;Bajo;0;4;5mas;No;2022;105.3519484
106;Dic;Dodge;Urbana;Hombre;Casado;28;Deportivo;Alto;0;1;5mas;No;2022;45.73017117
107;Ago;Mazda;Urbana;Hombre;Casado;28;Sedan;Bajo;0;2;5mas;No;2022;203.2476255
108;Nov;Pontiac;Urbana;Hombre;Casado;44;Sedan;Bajo;0;1;5mas;No;2022;58.18590504
109;Jun;Chevrolet;Urbana;Hombre;Casado;47;Sedan;Bajo;0;1;5mas;No;2022;17.65895507
110;Mar;Honda;Urbana;Hombre;Casado;40;Deportivo;Bajo;0;4;5mas;No;2022;81.58302159
111;May;Toyota;Urbana;Hombre;Soltero;23;Sedan;Bajo;0;2;5mas;No;2022;72.9074697
112;May;Pontiac;Urbana;Hombre;Soltero;31;Sedan;Bajo;0;3;5mas;No;2022;327.20541
113;Nov;Honda;Urbana;Hombre;Casado;35;Sedan;Bajo;0;1;5mas;No;2022;128.0268308
114;Nov;Accura;Rural;Hombre;Casado;56;Carga;Alto;1;2;5mas;No;2022;54.63460296
115;Dic;Chevrolet;Urbana;Hombre;Casado;50;Sedan;Bajo;0;3;5mas;No;2022;84.30243051
116;Dic;Honda;Urbana;Hombre;Soltero;16;Deportivo;Alto;0;1;4y;No;2022;28.74684168
117;Nov;Pontiac;Urbana;Hombre;Casado;32;Sedan;Medio;0;2;5mas;Si;2022;80.90972184
118;Ago;Pontiac;Urbana;Hombre;Soltero;28;Deportivo;Bajo;0;3;5mas;No;2022;161.9279995
119;Nov;Mazda;Urbana;Hombre;Soltero;68;Sedan;Bajo;1;3;5mas;No;2022;200.9679439
120;Dic;Honda;Rural;Hombre;Soltero;0;Sedan;Alto;1;3;0y;No;2022;150.9069545
121;Feb;Honda;Rural;Hombre;Soltero;0;Sedan;Alto;0;3;0y;No;2022;129.2213492
122;Oct;Honda;Rural;Mujer;Casado;18;Deportivo;Alto;0;4;2y;No;2022;169.3566759
123;Jun;Pontiac;Urbana;Hombre;Soltero;30;Sedan;Alto;0;1;5mas;No;2022;80.36864561
124;Abr;Honda;Urbana;Hombre;Casado;51;Sedan;Bajo;0;4;5mas;No;2022;314.8216798
125;Feb;Toyota;Urbana;Hombre;Soltero;22;Sedan;Medio;0;3;5mas;No;2022;221.3302566
126;Feb;Pontiac;Urbana;Mujer;Casado;26;Deportivo;Bajo;0;4;5mas;No;2022;122.495318
127;Ene;Dodge;Urbana;Hombre;Casado;53;Sedan;Medio;0;2;5mas;No;2022;350.8466116
128;Ene;Mazda;Urbana;Hombre;Casado;38;Deportivo;Medio;0;3;5mas;No;2022;29.71656331
129;Ene;Chevrolet;Rural;Hombre;Casado;27;Deportivo;Medio;0;3;5mas;Si;2022;171.524957
130;Nov;Honda;Urbana;Hombre;Soltero;29;Sedan;Bajo;0;3;5mas;No;2022;39.23948758
131;Jul;Pontiac;Urbana;Hombre;Soltero;32;Sedan;Bajo;0;1;5mas;No;2022;268.1474703
132;Abr;Honda;Urbana;Hombre;Soltero;18;Sedan;Bajo;0;3;3y;No;2022;85.32802409
133;Oct;Pontiac;Urbana;Hombre;Casado;60;Sedan;Bajo;0;4;5mas;No;2022;287.7412097
134;Oct;Ford;Urbana;Hombre;Casado;53;Sedan;Alto;0;3;5mas;No;2022;143.9601057
135;Abr;Honda;Urbana;Hombre;Soltero;29;Sedan;Bajo;0;4;5mas;No;2022;105.520123
136;Mar;Pontiac;Urbana;Hombre;Casado;29;Sedan;Bajo;0;2;5mas;No;2022;69.80778636
137;Mar;Toyota;Urbana;Hombre;Casado;41;Sedan;Bajo;0;4;5mas;No;2022;223.662809
138;Feb;Toyota;Urbana;Hombre;Casado;29;Sedan;Bajo;0;4;5mas;No;2022;58.85238505
139;Dic;Mercury;Urbana;Hombre;Casado;42;Sedan;Bajo;0;2;5mas;No;2022;22.02153899
140;Oct;Toyota;Urbana;Hombre;Casado;34;Sedan;Bajo;0;2;5mas;No;2022;77.32298003
141;Jul;Honda;Urbana;Hombre;Casado;51;Deportivo;Alto;0;4;5mas;No;2022;95.10767061
142;Jun;Pontiac;Urbana;Hombre;Casado;32;Sedan;Bajo;0;4;5mas;No;2022;21.9225191
143;Feb;Chevrolet;Urbana;Hombre;Casado;52;Deportivo;Bajo;0;4;5mas;No;2022;226.4844001
144;Feb;Toyota;Urbana;Hombre;Casado;61;Sedan;Bajo;0;2;5mas;No;2022;70.681741
145;Feb;Toyota;Rural;Hombre;Soltero;25;Deportivo;Bajo;0;4;5mas;No;2022;329.2918596
146;Nov;Mazda;Urbana;Hombre;Casado;41;Sedan;Medio;0;1;5mas;No;2022;78.73031425
147;Sep;Mazda;Urbana;Hombre;Soltero;33;Deportivo;Medio;0;1;5mas;No;2022;183.1260919
148;Dic;Toyota;Rural;Hombre;Casado;39;Sedan;Medio;1;3;5mas;No;2022;106.6686458
149;Jun;Accura;Urbana;Hombre;Soltero;30;Sedan;Medio;0;1;5mas;No;2022;43.20285854
150;May;Mazda;Urbana;Hombre;Otro;50;Sedan;Bajo;0;4;5mas;No;2022;38.54722792
151;Ene;Pontiac;Urbana;Mujer;Casado;31;Sedan;Bajo;0;1;5mas;No;2022;92.03070868
152;Ene;Pontiac;Urbana;Hombre;Soltero;23;Deportivo;Medio;0;4;5mas;No;2022;130.9787099
153;Ene;Pontiac;Urbana;Hombre;Soltero;31;Deportivo;Medio;0;3;5mas;No;2022;176.6017112
154;Sep;Honda;Urbana;Hombre;Casado;50;Sedan;Bajo;0;3;5mas;No;2022;126.5352458
155;Ene;Honda;Urbana;Mujer;Soltero;33;Deportivo;Bajo;0;3;5mas;No;2022;311.9129205
156;Ene;Accura;Urbana;Hombre;Casado;30;Deportivo;Medio;0;2;5mas;No;2022;301.3451364
157;Ene;Mazda;Urbana;Hombre;Casado;44;Sedan;Medio;0;1;5mas;No;2022;90.73024184
158;Ene;Chevrolet;Urbana;Hombre;Casado;46;Sedan;Alto;0;2;5mas;No;2022;153.0215985
159;Ene;Honda;Urbana;Hombre;Soltero;31;Deportivo;Bajo;0;4;5mas;No;2022;46.61812211
160;Ene;Honda;Urbana;Hombre;Casado;48;Deportivo;Bajo;0;3;5mas;No;2022;143.0461472
161;Dic;Chevrolet;Urbana;Hombre;Casado;33;Sedan;Alto;1;3;5mas;No;2022;17.87626992
162;Ene;Honda;Urbana;Hombre;Soltero;0;Deportivo;Alto;0;1;0y;No;2022;197.3919762
163;Ene;Chevrolet;Urbana;Mujer;Soltero;37;Deportivo;Alto;0;3;5mas;No;2022;39.5786852
164;Ene;Toyota;Urbana;Hombre;Casado;43;Sedan;Bajo;0;3;5mas;No;2022;69.74291016
165;Ene;Toyota;Urbana;Mujer;Casado;32;Sedan;Medio;0;1;4y;No;2022;100.1583102
166;Ene;Toyota;Urbana;Hombre;Casado;57;Deportivo;Bajo;0;1;5mas;No;2022;124.4618924
167;Ene;Honda;Urbana;Hombre;Casado;65;Sedan;Bajo;0;2;5mas;No;2022;23.92884181
168;Oct;Toyota;Urbana;Mujer;Soltero;27;Sedan;Bajo;0;4;5mas;No;2022;64.41377762
169;May;Nisson;Rural;Hombre;Casado;42;Carga;Alto;0;4;5mas;No;2022;205.1731936
170;May;Honda;Urbana;Hombre;Casado;57;Deportivo;Bajo;0;1;5mas;No;2022;85.35139159
171;Mar;Pontiac;Urbana;Hombre;Soltero;32;Sedan;Bajo;0;3;5mas;No;2022;106.0910042
172;Mar;Mazda;Urbana;Hombre;Soltero;29;Deportivo;Bajo;0;2;5mas;No;2022;9.352057716
173;Feb;VW;Urbana;Hombre;Casado;36;Sedan;Medio;0;4;5mas;No;2022;94.4264149
174;Feb;Toyota;Urbana;Hombre;Soltero;28;Deportivo;Medio;0;4;5mas;No;2022;470.7008451
175;Feb;Honda;Urbana;Mujer;Soltero;32;Sedan;Bajo;0;1;5mas;No;2022;94.81177283
176;Feb;Chevrolet;Urbana;Hombre;Soltero;33;Sedan;Bajo;0;2;5mas;No;2022;64.11828199
177;Feb;Saab;Urbana;Hombre;Casado;37;Sedan;Medio;0;2;5mas;No;2022;66.67378398
178;Ene;Honda;Urbana;Mujer;Soltero;26;Deportivo;Bajo;0;3;5mas;No;2022;79.72955808
179;Ene;Chevrolet;Urbana;Hombre;Casado;53;Sedan;Bajo;0;1;5mas;No;2022;135.0371065
180;Ene;Mercury;Rural;Hombre;Casado;53;Sedan;Bajo;0;3;5mas;No;2022;390.0457127
181;Ene;Ford;Urbana;Hombre;Casado;74;Sedan;Bajo;0;4;5mas;No;2022;76.25946748
182;Jun;Pontiac;Urbana;Hombre;Casado;50;Sedan;Bajo;0;2;5mas;No;2022;81.78447763
183;Jun;Mazda;Urbana;Hombre;Soltero;27;Sedan;Bajo;0;4;5mas;No;2022;164.0291666
184;Dic;Toyota;Urbana;Hombre;Casado;48;Sedan;Bajo;0;1;5mas;No;2022;117.3610724
185;Ene;Chevrolet;Urbana;Mujer;Soltero;55;Sedan;Bajo;0;2;5mas;No;2022;211.3313149
186;Ene;Pontiac;Urbana;Hombre;Casado;48;Sedan;Bajo;0;4;5mas;No;2022;82.80302679
187;Ene;Honda;Urbana;Hombre;Soltero;0;Deportivo;Alto;0;4;0y;No;2022;371.0026429
188;Dic;Pontiac;Urbana;Hombre;Casado;54;Deportivo;Bajo;0;4;5mas;No;2022;84.1310058
189;Ene;Chevrolet;Urbana;Hombre;Casado;36;Deportivo;Medio;0;1;5mas;No;2022;275.2923969
190;Dic;Mazda;Urbana;Hombre;Casado;43;Sedan;Medio;1;2;5mas;No;2022;150.225242
191;Dic;Mazda;Urbana;Hombre;Casado;41;Sedan;Medio;0;4;5mas;No;2022;6.603375697
192;Feb;Toyota;Urbana;Hombre;Casado;48;Sedan;Bajo;0;2;5mas;No;2022;208.9211397
193;Dic;Chevrolet;Urbana;Hombre;Casado;26;Carga;Alto;1;2;5mas;No;2022;177.4387618
194;Feb;Toyota;Urbana;Mujer;Casado;43;Sedan;Bajo;0;3;5mas;No;2022;305.4729252
195;Dic;Honda;Urbana;Hombre;Casado;39;Deportivo;Alto;1;3;5mas;No;2022;18.87391012
196;Feb;Chevrolet;Urbana;Hombre;Casado;49;Sedan;Medio;0;3;5mas;No;2022;158.9440311
197;Feb;Honda;Urbana;Hombre;Casado;37;Sedan;Medio;0;3;5mas;No;2022;91.79997463
198;Ago;Mazda;Urbana;Hombre;Casado;36;Sedan;Bajo;0;3;5mas;No;2022;103.2908546
199;Mar;Pontiac;Urbana;Mujer;Casado;52;Sedan;Bajo;0;4;5mas;No;2022;67.92917159
200;Dic;Pontiac;Urbana;Hombre;Casado;29;Sedan;Bajo;0;4;5mas;No;2022;62.02567517
201;Dic;Mazda;Urbana;Hombre;Casado;38;Sedan;Bajo;0;4;5mas;No;2022;133.716324
202;Dic;Mazda;Urbana;Hombre;Soltero;34;Sedan;Bajo;0;4;5mas;No;2022;112.5232389
203;Dic;Honda;Rural;Hombre;Soltero;0;Sedan;Alto;0;3;0y;No;2022;34.32589073
204;Sep;Honda;Rural;Hombre;Casado;41;Deportivo;Medio;0;4;5mas;No;2022;27.85670439
205;Dic;Pontiac;Urbana;Hombre;Casado;41;Sedan;Bajo;1;3;5mas;No;2022;135.6332673
206;Abr;Pontiac;Urbana;Hombre;Casado;64;Sedan;Bajo;0;3;5mas;No;2022;87.91671631
207;Dic;Pontiac;Urbana;Hombre;Casado;27;Sedan;Alto;1;4;4y;No;2022;462.5287242
208;Sep;Mazda;Urbana;Hombre;Soltero;25;Sedan;Alto;0;4;5mas;No;2022;185.4372992
209;Oct;Toyota;Urbana;Hombre;Soltero;21;Sedan;Bajo;0;2;5mas;No;2022;257.992301
210;Dic;Pontiac;Rural;Hombre;Casado;31;Sedan;Bajo;0;2;5mas;No;2022;111.0988523
211;Abr;Pontiac;Urbana;Hombre;Soltero;39;Sedan;Bajo;0;1;5mas;No;2022;197.3115137
212;Feb;Honda;Rural;Mujer;Casado;37;Sedan;Bajo;0;1;5mas;No;2022;135.0880214
213;Feb;Accura;Urbana;Hombre;Casado;41;Sedan;Bajo;0;4;5mas;No;2022;154.5949179
214;Ago;Pontiac;Urbana;Hombre;Casado;37;Sedan;Bajo;0;4;5mas;No;2022;66.72007582
215;Jun;Mazda;Rural;Hombre;Casado;28;Sedan;Medio;0;1;5mas;No;2022;24.74088043
216;Jun;Chevrolet;Urbana;Hombre;Casado;57;Sedan;Bajo;0;1;5mas;No;2022;67.83268155
217;Jun;Toyota;Urbana;Hombre;Casado;61;Sedan;Bajo;0;2;5mas;No;2022;328.810392
218;Ene;Mazda;Urbana;Hombre;Casado;69;Deportivo;Bajo;0;4;5mas;No;2022;591.5784529
219;Ene;Honda;Urbana;Hombre;Casado;67;Sedan;Bajo;0;1;5mas;No;2022;13.63479677
220;Feb;Chevrolet;Urbana;Hombre;Casado;52;Sedan;Alto;0;4;5mas;No;2022;117.8326544
221;Jul;Toyota;Urbana;Hombre;Soltero;23;Deportivo;Bajo;0;1;5mas;No;2022;131.5106859
222;Jun;Pontiac;Urbana;Hombre;Casado;38;Deportivo;Bajo;0;4;5mas;No;2022;54.22177725
223;Ene;Toyota;Urbana;Hombre;Casado;32;Sedan;Bajo;0;4;5mas;No;2022;152.1623937
224;Ene;Honda;Urbana;Hombre;Casado;26;Deportivo;Bajo;0;2;5mas;No;2022;83.79018692
225;Ene;Toyota;Urbana;Hombre;Casado;57;Sedan;Bajo;0;1;5mas;No;2022;48.26894313
226;Nov;Pontiac;Urbana;Hombre;Casado;29;Deportivo;Alto;0;2;5mas;No;2022;51.13677962
227;Oct;Saab;Urbana;Hombre;Casado;26;Sedan;Medio;0;2;5mas;No;2022;283.0715038
228;Oct;VW;Urbana;Mujer;Soltero;30;Sedan;Alto;0;1;5mas;No;2022;347.0254466
229;Dic;Pontiac;Rural;Hombre;Casado;41;Sedan;Bajo;1;2;5mas;No;2022;64.49601766
230;Oct;Pontiac;Urbana;Hombre;Casado;65;Deportivo;Alto;0;4;5mas;No;2022;370.2545232
231;Jun;Pontiac;Urbana;Hombre;Casado;33;Sedan;Bajo;0;1;5mas;No;2022;151.9699934
232;Abr;Mazda;Urbana;Hombre;Casado;44;Sedan;Bajo;0;2;5mas;No;2022;32.11982751
233;Dic;Chevrolet;Urbana;Hombre;Casado;26;Sedan;Bajo;1;2;5mas;No;2022;392.5185568
234;Mar;VW;Urbana;Hombre;Casado;32;Sedan;Alto;0;2;5mas;No;2022;116.9539363
235;Mar;Mercury;Urbana;Hombre;Casado;29;Sedan;Bajo;0;3;5mas;No;2022;72.46909782
236;Dic;Chevrolet;Urbana;Hombre;Casado;26;Sedan;Bajo;1;4;5mas;No;2022;143.7043144
237;Mar;Pontiac;Rural;Mujer;Soltero;37;Sedan;Bajo;0;4;5mas;Si;2022;216.464267
238;Mar;Pontiac;Urbana;Hombre;Casado;33;Deportivo;Bajo;0;1;5mas;No;2022;255.6179253
239;Ene;Pontiac;Urbana;Hombre;Casado;54;Sedan;Bajo;0;2;5mas;No;2022;156.1344211
240;Ene;Mazda;Urbana;Hombre;Soltero;26;Deportivo;Medio;0;4;5mas;No;2022;57.77130146
241;Ene;Chevrolet;Urbana;Hombre;Soltero;32;Deportivo;Bajo;0;4;5mas;No;2022;48.70635273
242;Ene;Mazda;Urbana;Mujer;Soltero;25;Deportivo;Bajo;0;3;4y;No;2022;91.35857422
243;Ago;Mazda;Urbana;Mujer;Soltero;23;Deportivo;Bajo;0;3;5mas;No;2022;117.1648573
244;Ago;Honda;Urbana;Hombre;Soltero;0;Sedan;Alto;0;1;0y;No;2022;108.2619504
245;Feb;Pontiac;Urbana;Hombre;Soltero;31;Sedan;Bajo;0;1;5mas;No;2022;45.82704759
246;Dic;Honda;Urbana;Hombre;Soltero;0;Sedan;Alto;0;4;0y;No;2022;170.6011704
247;Feb;Ford;Urbana;Hombre;Casado;42;Sedan;Bajo;0;4;5mas;No;2022;155.5187147
